system_file	kepler_file	num_moons	Planet_period(days)	P_Transits_present/absent	SNR1	SNR2	SNR3	SNR4	SNR5	M_Transits_present/absent1	M_Transits_present/absent2	M_Transits_present/absent3	M_Transits_present/absent4	M_Transits_present/absent5	DW_statistic	Best_offset	Planet_Transit_duration	t0_bary
july13_res_56	dummy_lc.txt	1	322.40345826281595	1111	56.19185436470851	NA	NA	NA	NA	1111	NA	NA	NA	NA	1.9892196251535503	66.26733589370374	0.38442179020656575	421.16464222905915
july13_res_666	dummy_lc.txt	1	15.550086643137641	11111011111100000011111101011111111100000011111111111011111000000011011111111110	4.2142236863599205	NA	NA	NA	NA	11111011111100000011111101011111111100000011111111111011111000000011011111111110	NA	NA	NA	NA	1.9907426196776519	4.765253773036352	0.2412669679239791	357.662224315814
july13_res_731	dummy_lc.txt	1	38.22788395145724	101110001111111001111111100111111	8.02663931952778	NA	NA	NA	NA	101110001111111001111111100111111	NA	NA	NA	NA	1.9864522664854978	2.5661687313222057	0.23627502099655592	355.46319963823515
july13_res_296	dummy_lc.txt	1	19.571557642646383	1011111111000011101011101110100001111111110111100000110111111111	1.9817555420049444	NA	NA	NA	NA	1011111111000011101011101110100001111111110111100000110111111111	NA	NA	NA	NA	1.9895440422565593	4.447390213369681	0.16123340696291802	357.3443936576769
july13_res_546	dummy_lc.txt	1	557.8120402483117	111	4.044634856400023	NA	NA	NA	NA	111	NA	NA	NA	NA	1.9889704063842668	105.13564835295922	0.7518396625526225	460.03262913058876
july13_res_856	dummy_lc.txt	1	496.8383934745779	111	10.321006252681457	NA	NA	NA	NA	111	NA	NA	NA	NA	1.9892877806496352	29.505317112670262	0.745665053252683	384.4029812281888
july13_res_161	dummy_lc.txt	1	153.87798811378568	111101011	1417.6387959425754	NA	NA	NA	NA	011101000	NA	NA	NA	NA	1.9897656178665617	0.0	0.4273502177392542	356.397444516991
july13_res_71	dummy_lc.txt	1	231.03360267821233	111101	11.17714816843838	NA	NA	NA	NA	111101	NA	NA	NA	NA	1.9903800423881586	55.81688920804226	0.648758390470414	409.71261362240716
july13_res_701	dummy_lc.txt	1	69.74889404798624	111011110011110111	65.68486325330767	NA	NA	NA	NA	111011110011110111	NA	NA	NA	NA	1.9924649941975565	0.0	0.240612500319511	353.3967266449329
july13_res_536	dummy_lc.txt	1	69.15723171371553	111011110011110111	9.652314379885913	NA	NA	NA	NA	111011110011110111	NA	NA	NA	NA	1.992044735487117	0.5975481351211182	0.36770819532750876	353.99451747184594
