#System architecture file: july13 nores 157
#Kepler light curve file: dummy_lc.txt
#times,fluxes,errors
393.6514961,0.9999908833071627,1.0000095690531752e-05
393.6719297,1.0000090714466376,9.999913806050403e-06
393.8353975,0.9999884299380473,1.0000120197515152e-05
393.855831,1.0000106195433487,9.999898298090237e-06
393.8762645,0.999997520304704,1.000002928640086e-05
393.896698,0.9999931937620062,1.0000072549173411e-05
393.9171315,0.9999947132026492,1.0000057351493638e-05
393.9579985,0.9999918524863207,1.0000085952867048e-05
393.978432,1.0000095409690233,9.999909065103132e-06
393.9988656,1.0000034960009645,9.99996951091137e-06
394.019299,1.0000062503814289,9.999941964244466e-06
394.0397325,0.9999988525715399,1.0000015938873364e-05
394.060166,1.0000095111755005,9.999909350545024e-06
394.101033,1.0000012096928959,9.999992358231635e-06
394.1214665,1.0000051946364183,9.999952505880034e-06
394.1419,0.9999968019176974,1.0000036429776134e-05
394.1623335,0.9999836760761451,1.0000167687644531e-05
394.1827669,1.0000061216801055,9.9999432260402e-06
394.2032005,0.9999957454962181,1.000004698454941e-05
394.223634,0.9999838673586734,1.0000165765210187e-05
394.2440674,0.9999838677716558,1.0000165757884189e-05
394.264501,1.0000031647430685,9.999972782379144e-06
394.3053679,0.9999901224858967,1.0000103199457178e-05
394.3258015,1.0000003326346285,1.0000001093726225e-05
394.387102,0.9999956910167174,1.0000047500397032e-05
394.4075355,1.000004451141695,9.999959895869457e-06
394.4484025,0.9999954677622042,1.0000049723187249e-05
394.468836,1.0000138735628148,9.999865663547195e-06
394.6323039,0.9999979669875568,1.0000024701061188e-05
394.6527375,0.9999967094490474,1.0000037273184899e-05
394.714038,0.9999873169291693,1.0000131189882897e-05
394.7549051,1.0000029114566722,9.99997523628763e-06
394.8162056,1.000015818921273,9.999846153860153e-06
394.8570726,1.0000111381206145,9.999892953829836e-06
394.8775061,1.00000725566305,9.999931774300448e-06
394.8979396,1.0000140013376078,9.999864315545183e-06
