#System architecture file: july13 res 302
#Kepler light curve file: dummy_lc.txt
#times,fluxes,errors
353.2756143,1.0000055365645897,9.999937000611424e-06
353.2960472,0.9999904058031978,1.0000088320607034e-05
353.31648,1.0000071952044682,9.9999204382042e-06
353.3369128,1.0000006575440483,9.999985826131713e-06
353.3573456,0.9999969909249424,1.0000022504269297e-05
353.3777784,1.0000126099725823,9.999866327300572e-06
353.3982113,1.0000082097216336,9.999910340752005e-06
353.4186442,1.0000200838028757,9.999791615281762e-06
353.4390769,1.0000108206389726,9.999884255882641e-06
353.4595098,0.9999891353770383,1.0000101120244476e-05
353.4799427,1.000002990444036,9.99996258048562e-06
353.5003754,1.0000044876379377,9.999947620569045e-06
353.5208083,0.9999911064468333,1.00000814448703e-05
353.5412411,1.0000069430043559,9.999923091007114e-06
353.5616739,1.000019025794084,9.99980227824156e-06
353.6025396,1.0000007138345843,9.99998541789743e-06
353.6434053,1.0000040676236397,9.99995190401017e-06
353.6638381,1.0000009492427602,9.99998309955051e-06
353.684271,0.9999857588218598,1.000013501757887e-05
353.7047038,0.9999870427190788,1.0000122190181036e-05
353.7251366,1.0000045486237226,9.999947141707051e-06
353.7455695,1.000025426509272,9.999738381179857e-06
353.7660023,0.9999997598745879,9.999995052791407e-06
353.8068678,0.9999965654628761,1.0000027020842272e-05
353.8273008,0.9999847248121897,1.0000145441399925e-05
353.8477336,1.0000123939810055,9.999868761039789e-06
353.8681664,1.0000058682511723,9.999934029023015e-06
353.8885993,0.9999961678766468,1.0000031044425722e-05
353.9090321,1.0000192621379982,9.999800117470175e-06
353.929465,0.999988589056081,1.0000106857586545e-05
353.9498978,0.9999855793305,1.0000136967527307e-05
353.9703306,0.9999857279060368,1.0000135493660846e-05
353.9907635,1.0000088866071986,9.99990391750079e-06
354.0111962,1.0000110549593457,9.999882246359727e-06
354.0316291,0.9999981571066037,1.000001123553981e-05
354.052062,1.0000034008422327,9.9999588102377e-06
354.0724947,0.9999861473031335,1.0000131359244051e-05
354.0929277,1.000001308055879,9.999979761860383e-06
354.1133605,1.000001099956006,9.99998185479051e-06
354.1337932,1.0000034211572,9.99995865483893e-06
354.1542262,0.9999722807546446,1.0000270078149448e-05
354.1746589,0.9999896158162578,1.0000096732992309e-05
354.1950918,1.0000038655210108,9.99995424705909e-06
354.2155247,1.0000029753474038,9.999963160670808e-06
354.2359575,0.9999894608361544,1.0000098318653661e-05
354.2563903,0.9999964876412347,1.0000028061609913e-05
354.2768231,0.9999923052351166,1.000006989805597e-05
354.2972561,0.9999818887905612,1.0000174077063009e-05
354.3176888,1.0000031288567433,9.999961685315602e-06
354.3381216,1.0000000820458914,9.999992165253066e-06
354.3585546,0.9999929186959113,1.0000063811153223e-05
354.3789873,0.9999914548964457,1.0000078461316243e-05
354.3994202,1.000001099574994,9.999982025830749e-06
354.4198531,0.9999947390761296,1.0000045642991217e-05
354.4402859,0.9999881695468151,1.000011135131374e-05
354.4607187,0.9999904468926792,1.0000088589336978e-05
354.4811517,0.9999758656415003,1.0000234418613763e-05
354.5015844,0.999849964570486,1.0001493659722533e-05
354.5220172,0.9998002059490917,1.0001991431665842e-05
354.5424501,0.9998117322409539,1.0001876136042725e-05
354.562883,0.9997973356917067,1.0002020169692e-05
354.5833158,0.9997878573556841,1.0002115004275553e-05
354.6037486,0.9997902527244427,1.0002091052455569e-05
